not_bio_related	name	summary	url
 	2pg_cartesian	2pg cartesian is a framework of optimization algorithms for protein structure prediction.	https://github.com/rodrigofaccioli/2pg_cartesian
 	abawaca	abawaca is a binning program for metagenomics	https://github.com/CK7/abawaca
 	abricate	Mass screening of contigs for antibiotic resistance genes	https://github.com/tseemann/abricate
 	abruijn	Long read assembly via A-Bruijn graph	https://github.com/fenderglass/ABruijn/
 	abundancebin	Abundance-based tool for binning metagenomic sequences	hhttp://omics.informatics.indiana.edu/AbundanceBin/
 	abyss	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	http://www.bcgsc.ca/platform/bioinfo/software/abyss
 	abyss-k128	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	http://www.bcgsc.ca/platform/bioinfo/software/abyss
 	adam	Genomics analysis platform built on Apache Avro, Apache Spark and Parquet	https://github.com/bigdatagenomics/adam
 	addrg	Add read group to BAM files	https://github.com/holtgrewe/addrg
x	aenum	Advanced Enumerations (compatible with Python's stdlib Enum), NamedTuples, and NamedConstants	https://bitbucket.org/stoneleaf/aenum
 	afterqc	Automatic Filtering, Trimming, Error Removing and Quality Control for fastq data. AfterQC can simply go through all fastq files in a folder and then output three folders: good, bad and QC folders, which contains good reads, bad reads and the QC results of each fastq file/pair. Currently it supports processing data from HiSeq 2000/2500/3000/4000, Nextseq 500/550, MiniSeq...and other Illumina 1.8 or newer formats.	https://github.com/OpenGene/AfterQC
 	age-metasv	optimal alignment of sequences with structural variants (SVs), modifiied for MetaSV integration	https://github.com/marghoob/AGE/tree/simple-parseable-output
 	agg	gvcf aggregation tool	https://github.com/Illumina/agg
 	ale	ALE: Assembly Likelihood Estimator	https://github.com/sc932/ALE
 	align_it	Align-it is a tool to align molecules according to their pharmacophores. A pharmacophore is an abstract concept based on the specific interactions observed in drug-receptor interactions: hydrogen bonding, charge transfer, electrostatic and hydrophobic interactions.	http://silicos-it.be.s3-website-eu-west-1.amazonaws.com/software/align-it/1.0.4/align-it.html
 	alignlib-lite	Simple wrapper around alignlib C++ library for sequence alignment	http://sourceforge.net/projects/alignlib/
 	amos	A Modular, Open-Source whole genome assembler	http://amos.sourceforge.net/wiki/index.php/AMOS
 	andi	Efficient Estimation of Evolutionary Distances	https://github.com/evolbioinf/andi/
 	angsd	ANGSD: Analysis of next generation Sequencing Data	http://www.popgen.dk/angsd/index.php/ANGSD
x	ansible	Radically simple IT automation	http://www.ansible.com/
x	ant	Apache Ant is a Java library and command-line tool that help building software.	http://ant.apache.org
 	antarna	antaRNA is a python based implementation of ant-colony optimization of the RNA inverse folding problem.	https://github.com/RobertKleinkauf/antarna
 	antismash	antiSMASH allows the rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters.	http://antismash.secondarymetabolites.org/
 	anvio	An interactive analysis and visualization platform for omics data	http://merenlab.org/software/anvio/index.html
 	apoc	Large-scale structural comparison of protein pockets	http://cssb.biology.gatech.edu/APoc
 	aragorn	ARAGORN, tRNA (and tmRNA) detection	http://mbio-serv2.mbioekol.lu.se/ARAGORN/
 	arb-bio	ARB 6 Sequence Analysis Suite	http://www.arb-home.de
 	arem	Aligning Reads by Expectation-Maximization.\nBased on MACS (Model Based Analysis for ChIP-Seq data)	http://cbcl.ics.uci.edu/AREM
x	argparse	Python command-line parsing library	https://github.com/ThomasWaldmann/argparse/
x	argutils	Functions to build matched argument parsers and config files	https://github.com/eclarke/argutils
x	aria2	aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.	https://aria2.github.io/
 	ariba	ARIBA: Antibiotic Resistance Identification By Assembly	https://github.com/sanger-pathogens/ariba
 	art	Illumina, 454 and Solid read simulator	http://www.niehs.nih.gov/research/resources/software/biostatistics/art/
x	arvados-cli	Command line interface to Arvados, a free and open source platform for big data science	http://doc.arvados.org/sdk/cli/index.html
 	arvados-cwl-runner	Arvados Common Workflow Language runner	https://github.com/curoverse/arvados/tree/master/sdk/cwl
 	arvados-python-client	Python API for Arvados, an open source platform for managing and analyzing biomedical big data	https://github.com/curoverse/arvados/tree/master/sdk/python
 	ascat	ASCAT is a method to derive copy number profiles of tumour cells,accounting for normal cell admixture and tumour aneuploidy (Figure 1).ASCAT infers tumour purity (the fraction of tumour cells) and ploidy (theamount of DNA per tumour cell, expressed as multiples of haploid genomes)from SNP array or massively parallel sequencing data, and calculateswhole-genome allele-specific copy number profiles (the number of copies ofboth parental alleles for all SNP loci across the genome).	https://www.crick.ac.uk/research/a-z-researchers/researchers-v-y/peter-van-loo/software/
 	asciigenome	Command-line genome browser running from terminal window and solely based on ASCII characters	https://github.com/dariober/ASCIIGenome
 	askocli	Command line interface for a distant AskOmics	https://github.com/askomics/askocli
